modello,k,regione,percentuale_vaccinati,cluster
K-MEANS,2,Friuli-Venezia Giulia,0.622776335074865,1
K-MEANS,2,Lazio,0.596208289895322,0
K-MEANS,2,Liguria,0.638774543732469,1
K-MEANS,2,Lombardia,0.612220517484112,1
K-MEANS,2,Marche,0.609465394436948,1
K-MEANS,2,Molise,0.651148047358429,1
K-MEANS,2,Piemonte,0.597769358398019,0
K-MEANS,2,Provincia Autonoma Bolzano / Bozen,0.606115623506928,1
K-MEANS,2,Provincia Autonoma Trento,0.553774701924754,0
K-MEANS,2,Puglia,0.610253656099381,1
K-MEANS,2,Sardegna,0.572854260194904,0
K-MEANS,2,Sicilia,0.538780171192156,0
K-MEANS,2,Toscana,0.590635037767836,0
K-MEANS,2,Umbria,0.617285520564431,1
K-MEANS,2,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,1
K-MEANS,2,Veneto,0.588686175837252,0
